"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","True","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"BluetoothUserService_b7a682","System.ServiceProcess.ServiceController[]","False","False","True","Serviciul de asisten?? Bluetooth pentru utilizatori_b7a682","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_b7a682","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","False","False","True","Dell Data Vault Service API","System.ServiceProcess.ServiceController[]",".","DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DDVDataCollector","System.ServiceProcess.ServiceController[]","False","True","True","Dell Data Vault Collector","System.ServiceProcess.ServiceController[]",".","DDVDataCollector","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DDVRulesProcessor","System.ServiceProcess.ServiceController[]","False","False","True","Dell Data Vault Processor","System.ServiceProcess.ServiceController[]",".","DDVRulesProcessor","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Dell Digital Delivery Services","System.ServiceProcess.ServiceController[]","False","True","True","Dell Digital Delivery Services","System.ServiceProcess.ServiceController[]",".","Dell Digital Delivery Services","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Dell Hardware Support","System.ServiceProcess.ServiceController[]","False","True","True","Dell Hardware Support","System.ServiceProcess.ServiceController[]",".","Dell Hardware Support","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Dell SupportAssist Remediation","System.ServiceProcess.ServiceController[]","False","True","True","Dell SupportAssist Remediation","System.ServiceProcess.ServiceController[]",".","Dell SupportAssist Remediation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DellClientManagementService","System.ServiceProcess.ServiceController[]","False","True","True","Dell Client Management Service","System.ServiceProcess.ServiceController[]",".","DellClientManagementService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DevicePickerUserSvc_b7a682","System.ServiceProcess.ServiceController[]","False","False","True","DevicePicker_b7a682","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_b7a682","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"DevicesFlowUserSvc_b7a682","System.ServiceProcess.ServiceController[]","False","False","True","DevicesFlow_b7a682","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_b7a682","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Display Policy Service","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
